POS_UNIQUE_ID,POS_CONTROLLER,POS_CONTROLLER_DESCRIPTION,FISCYEAR,YFISCQRT,FISCPER,YFISCWEEK,CALDAY,END_TIME_STAMP,MATERIAL,MATERIAL_DESCRIPTION,MATERIAL_YDEPT_DESCRIPTION,EXT_YMDEPT_DESCRIPTION,YCLASS_DESCRIPTION,YSUBCLASS_DESCRIPTION,YCLASS,YSUBCLASS,PLANT,POS_Amt,POS_Qty_SUoM,REGISTER,SALES_ITEM_TYPE_DESCRIPTION,Sales_UoM,XREFERENCE_NUMBER,FLAG,prov,prov2,DISTRICT,MARKET
7274-20180309-02508-090,3V,Sp. Srvc. Dsk  VPOS,2018,20181,2018002,201806,20180309,230445,000000001000793158,Stratos Charcl 18x18 CrptTile 10 Til,23 FLOORING,23 FLOORING,23XX02 CARPETING,23XX0217 CARPET TILE,02048,10262,7274,159.84,3.0,0000000090,Special Order Sales,CS,00001018762702094863,C,Online,Online,D-Ecomm,Online
7274-20180919-09594-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018008,201834,20180919,104641,000000001001045206,6x24Montagna Wood Vintage14.53sf/cv,23 FLOORING,23 FLOORING,23XX06 CERAMIC TILE,"23XX0624 13"" SMALLER",02052,10309,7274,130.32,3.0,0000000090,Special Order Sales,CS,00001019323483279227,C,Online,Online,D-Ecomm,Online
7274-20181008-04560-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018009,201837,20181008,084531,000000001001122075,Multi-Width x 47.6-inch Night Gr,23 FLOORING,23 FLOORING,23XX07 WALL SOLUTION,23XX0706 VINYL,02053,10321,7274,315.78,2.0,0000000090,Special Order Sales,CS,00001018976413454509,C,Online,Online,D-Ecomm,Online
7274-20180906-05830-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018008,201832,20180906,115508,000000001001053164,"28"" High Furniture Legs 2 pk Steel",21 LUMBER,21 LUMBER,21XX05 BOARDS,21XX0502 WHITEWOOD,02005,10030,7274,173.0,1.0,0000000090,Special Order Sales,EA,00001019252039861004,P,Online,Online,D-Ecomm,Online
7274-20180824-03500-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018007,201830,20180824,030229,000000001001125265,Acacia Project Panel - Espresso 16,21 LUMBER,21 LUMBER,21XX05 BOARDS,21XX0512 LAMINATED P,02005,10040,7274,218.24,2.0,0000000090,Special Order Sales,EA,00001018955529645589,C,Online,Online,D-Ecomm,Online
7274-20180228-07010-090,3V,Sp. Srvc. Dsk  VPOS,2018,20181,2018002,201805,20180228,100758,000000001001026321,California Shag Silver 2 ft. 3 i,23 FLOORING,23 FLOORING,23XX03 AREA RUGS/MAT,23XX0307 SYNTHETIC R,02049,10273,7274,510.0,5.0,0000000090,Special Order Sales,EA,00001018432826751273,C,Online,Online,D-Ecomm,Online
7274-20180510-07236-090,3V,Sp. Srvc. Dsk  VPOS,2018,20182,2018004,201815,20180510,090602,000000001001050469,Courtyard Black / Beige 5 ft. 3,23 FLOORING,23 FLOORING,23XX03 AREA RUGS/MAT,23XX0307 SYNTHETIC R,02049,10273,7274,111.0,1.0,0000000090,Special Order Sales,EA,00001016107553968926,C,Online,Online,D-Ecomm,Online
7274-20180928-05812-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018009,201835,20180928,011746,000000001001077888,Adirondack Silver Multi 2 ft. 6,23 FLOORING,23 FLOORING,23XX03 AREA RUGS/MAT,23XX0307 SYNTHETIC R,02049,10273,7274,46.95,1.0,0000000090,Special Order Sales,EA,00001019514284690632,C,Online,Online,D-Ecomm,Online
7274-20180504-02701-090,3V,Sp. Srvc. Dsk  VPOS,2018,20182,2018004,201814,20180504,143357,000000001000745897,Rug Pad 9 Feet x 12 Feet Ultra,23 FLOORING,23 FLOORING,23XX03 AREA RUGS/MAT,23XX0311 ACCESSORIES,02049,10277,7274,68.48,2.0,0000000090,Special Order Sales,EA,00001004936424308700,C,Online,Online,D-Ecomm,Online
7274-20181010-01228-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018009,201837,20181010,162543,000000001001106125,TM 90inx204in Gray Garage Flooring,23 FLOORING,23 FLOORING,23XX04 VINYL FLOORIN,23XX0402 VINYL ROLL,02050,10282,7274,296.0,2.0,0000000090,Special Order Sales,EA,00001018585156010891,C,Online,Online,D-Ecomm,Online
7274-20181023-09285-090,3V,Sp. Srvc. Dsk  VPOS,2018,20183,2018009,201839,20181023,175140,000000001001201398,Levant 5 ft. x 10 ft. Slate Grey,23 FLOORING,23 FLOORING,23XX04 VINYL FLOORIN,23XX0402 VINYL ROLL,02050,10282,7274,118.0,1.0,0000000090,Special Order Sales,EA,00001019233086603479,C,Online,Online,D-Ecomm,Online
